-1.00000	0.35323	-0.05580
-0.95000	0.34926	-0.05171
-0.90000	0.31526	-0.01760
-0.85000	0.24864	0.00586
-0.80000	0.14957	-0.01665
-0.75000	0.02143	-0.08195
-0.70000	-0.12914	-0.16868
-0.65000	-0.29237	-0.27130
-0.60000	-0.45603	-0.39402
-0.55000	-0.60637	-0.53564
-0.50000	-0.72931	-0.68450
-0.45000	-0.81189	-0.81962
-0.40000	-0.84362	-0.91408
-0.35000	-0.81774	-0.94045
-0.30000	-0.73219	-0.87783
-0.25000	-0.59011	-0.71868
-0.20000	-0.39983	-0.47311
-0.15000	-0.17428	-0.16886
-0.10000	0.07003	0.15245
-0.05000	0.31454	0.44006
0.00000	0.54030	0.64164
0.05000	0.72986	0.72936
0.10000	0.86885	0.74285
0.15000	0.94736	0.77155
0.20000	0.96079	0.83492
0.25000	0.91021	0.83714
0.30000	0.80205	0.71041
0.35000	0.64733	0.51239
0.40000	0.46042	0.33501
0.45000	0.25752	0.21196
0.50000	0.05509	0.13256
0.55000	-0.13172	0.08091
0.60000	-0.29034	0.04751
0.65000	-0.41171	0.02667
0.70000	-0.49080	0.01436
0.75000	-0.52665	0.00812
0.80000	-0.52202	0.00476
0.85000	-0.48269	0.00043
0.90000	-0.41659	0.00000
0.95000	-0.33278	0.00026
